Bandwidth,Average Throughput (Mbps),Packet Loss Rate (%)
1000,158.28,0.00
1000,238.09,0.00
1000,189.27,0.00
1000,224.17,0.00
1000,125.99,0.00
1000,122.76,0.00
1000,134.63,0.00
1000,190.68,0.00
1000,166.06,0.00
1000,255.53,0.00
1000,198.00,0.00
1000,234.17,0.00
1000,122.79,0.00
1000,224.19,0.00
1000,212.12,0.00
1000,233.00,0.00
1000,158.87,0.00
1000,202.10,0.00
1000,258.40,0.00
1000,223.17,0.00
1000,180.72,0.00
1000,175.39,0.00
1000,226.46,0.00
1000,268.07,0.00
1000,195.73,0.00
1000,135.59,0.00
1000,222.05,0.00
1000,214.78,0.00
