Bandwidth,Average Throughput (Mbps),Packet Loss Rate (%)
1000,191.89,0.00
1000,150.68,0.00
1000,175.28,0.00
1000,162.54,0.00
1000,180.14,0.00
1000,167.05,0.00
1000,235.81,0.00
1000,166.99,0.00
1000,258.69,0.00
1000,266.38,0.00
1000,170.46,0.00
1000,220.76,0.00
1000,211.05,0.00
1000,248.14,0.00
1000,274.39,0.00
1000,154.66,0.00
1000,217.49,0.00
1000,184.89,0.00
1000,272.84,0.00
1000,181.91,0.00
1000,200.95,0.00
1000,206.28,0.00
1000,234.26,0.00
1000,172.42,0.00
1000,261.76,0.00
1000,197.93,0.00
1000,206.27,0.00
1000,243.87,0.00
