Number,Client Address,Throughput (Mbps),Packet Loss Rate (%)
1,10.0.13.240,625.54,0.00
2,10.0.9.98,628.78,0.00
3,10.0.3.168,629.25,0.00
4,10.0.8.2,627.77,0.00
5,10.0.4.162,629.21,0.00
6,10.0.19.25,628.35,0.00
7,10.0.13.253,629.72,0.00
8,10.0.1.7,627.92,0.00
9,10.0.19.23,631.94,0.00
10,10.0.6.0,628.86,0.00
11,10.0.5.252,626.05,0.00
12,10.0.19.22,628.66,0.00
13,10.0.1.6,628.51,0.00
14,10.0.3.165,627.88,0.00
15,10.0.16.71,626.71,0.00
16,10.0.18.25,628.08,0.00
17,10.0.17.192,626.36,0.00
18,10.0.7.166,622.30,0.00
19,10.0.19.20,630.23,0.00
20,10.0.3.143,628.35,0.00
21,10.0.18.28,633.59,0.00
22,10.0.19.19,627.69,0.00
23,10.0.4.175,629.56,0.00
24,10.0.11.250,625.46,0.00
25,10.0.3.246,621.05,0.00
26,10.0.19.21,628.98,0.00
27,10.0.16.67,629.41,0.00
28,10.0.4.174,629.13,0.00
